result	domi	recess	omit
1	3.4422205346587926	5.3091599277249255	4.935641893901472
1	-3.463812299095623	-5.4923016151224955	-3.1239359288723243
0	-3.4991708281068865	-5.8614742051597	-3.4785280987945493
1	-2.5382510699738523	-4.299312264626792	-1.9267527022277176
0	-2.2239727591565583	-4.626779701315185	-2.6903230527207826
1	3.554680361037957	4.914908777009736	2.9864513883990713
0	-1.857544525984368	-2.717661075164755	-2.012000481825234
1	3.567038338159645	3.427229690939565	3.779867056241678
0	-2.496531938104411	-4.571309094208258	-2.4057450414560506
1	0.6256910493714382	0.6488413726824758	2.0520139239452955
0	-3.5027308542786555	-5.390443345911965	-2.5379080654074824
